Pregunta,Intencion,Pregunta_T1
como puedo trabajar en santander rio,Cat_102,¿Cómo puedo trabajar en Santander Rio?
pagar tarjeta visa querer reintegro,Cat_350,pagar tarjeta visa quiere reembolso
pagar tarjeta naranja sistema,Cat_132,tarjeta naranja del sistema de pago
no se debitó la primera cuota del plan de bienes personales y quiero saber por que,Cat_129,la primera cuota del plan de propiedad personal no se debitó y quiero saber por qué
abonar tarjeta credito,Cat_342,tarjeta de crédito
se puede pagar la mastercard desde uno de los autoservicios del banco?,Cat_342,¿Puedes pagar la mastercard desde uno de los autoservicios del banco?
informar que vamos a viajar al exterior,Cat_304,informar que vamos a viajar al extranjero
pasar preguntar seguridad,Cat_1,pasar preguntar seguridad
olvide mi contraseña de hombamnkin,Cat_1,Olvidé mi contraseña Hombamnkin
como doy de baja la tarjeta por telefono no es posible comunicarse,Cat_338,"dado que cancelo la suscripción de la tarjeta por teléfono, no es posible comunicarme"
intentar poder obtener clave,Cat_1,intenta obtener la llave
mi abuela tiene que hacer la supervivencia en la sucursal de floresta.ahora ella está en pilar la puede realizar en un banco de ahi,Cat_88,"Mi abuela tiene que sobrevivir en la rama de Floresta. Ahora ella está en el pilar, puede hacerlo en un banco allí."
pagar servicio pagina banco,Cat_132,servicio de pago banco
me cobran algo por recibir dolares del exterior?,Cat_31,¿Me cobran algo para recibir dólares del extranjero?
me ayudás a terminar un canje? no puedo hacerlo de manera electrónica.,Cat_328,¿Me pueden ayudar a terminar un intercambio? No puedo hacerlo electrónicamente.
quiero solicitar el prestamo santander rio,Cat_223,Quiero solicitar el préstamo Santander Rio
puedo retirar dinero de un plazo fijo?,Cat_182,¿Puedo retirar dinero de un plazo fijo?
queria invertir en la bolsa acciones de pampa energía,Cat_151,quería invertir en el mercado de valores de pampa energia
queria saber como recuperar mi contraseña del cajero automatico,Cat_288,Quería saber cómo recuperar mi contraseña de cajero automático
necesito pedir una reimpresión.que tramite tengo que realizar?,Cat_316,Necesito solicitar una reimpresión. ¿Qué procedimiento debo realizar?
donde pago la cuota del prestamo personal?,Cat_239,¿Dónde pago la tarifa del préstamo personal?
tengo un atraso en el pago de mi tarjeta,Cat_192,Tengo un retraso en el pago de mi tarjeta
en que casas de ropa va a haber promo?,Cat_311,¿En qué tiendas de ropa habrá una promoción?
deseo ver el estado de distribución del plástico,Cat_293,Quiero ver el estado de distribución del plástico.
tardar reponer tarjeta debito,Cat_293,retrasar la recarga de la tarjeta de débito
algun costo abrir fondo comun invercion,Cat_96,algún costo para abrir el fondo común de inversión
cuándo se hace la liquidación de letras del tesoro,Cat_158,cuando es la liquidación de letras del tesoro
necesitar saber cuanto pagar tarjeta,Cat_342,necesita saber cuánto pagar con tarjeta
cambiar moneda tarjeta debitar exterior,Cat_289,cambiar moneda tarjeta de débito en el extranjero
hablilitacion para compras al exterior,Cat_304,calificación para compras en el extranjero
es posible anular el canje?,Cat_331,¿Es posible cancelar el intercambio?
puedo abrirme una cuenta si vivo en el extranjero,Cat_39,¿Puedo abrir una cuenta si vivo en el extranjero?
que tengo en debito automatico,Cat_93,que tengo en débito automático
quisiera solicitar la tarjeta visa internacional,Cat_337,Me gustaría solicitar la tarjeta de visa internacional
quiero poner mi ahorro en plazo fijo a dias,Cat_181,Quiero poner mis ahorros en términos fijos a días
