clean_txt,Intencion
como puedo trabajar en santander rio,Cat_102
pagar tarjeta visa querer reintegro,Cat_350
pagar tarjeta naranja sistema,Cat_132
no se debito la primera cuota del plan de bienes personales y quiero saber por que,Cat_129
abonar tarjeta credito,Cat_342
se puede pagar la mastercard desde uno de los autoservicios del banco,Cat_342
informar que vamos a viajar al exterior,Cat_304
pasar preguntar seguridad,Cat_1
olvide mi contrasena de hombamnkin,Cat_1
como doy de baja la tarjeta por telefono no es posible comunicarse,Cat_338
intentar poder obtener clave,Cat_1
mi abuela tiene que hacer la supervivencia en la sucursal de floresta ahora ella esta en pilar la puede realizar en un banco de ahi,Cat_88
pagar servicio pagina banco,Cat_132
me cobran algo por recibir dolares del exterior,Cat_31
me ayudas a terminar un canje no puedo hacerlo de manera electronica,Cat_328
quiero solicitar el prestamo santander rio,Cat_223
puedo retirar dinero de un plazo fijo,Cat_182
queria invertir en la bolsa acciones de pampa energia,Cat_151
queria saber como recuperar mi contrasena del cajero automatico,Cat_288
necesito pedir una reimpresion que tramite tengo que realizar,Cat_316
donde pago la cuota del prestamo personal,Cat_239
tengo un atraso en el pago de mi tarjeta,Cat_192
en que casas de ropa va a haber promo,Cat_311
deseo ver el estado de distribucion del plastico,Cat_293
tardar reponer tarjeta debito,Cat_293
algun costo abrir fondo comun invercion,Cat_96
cuando se hace la liquidacion de letras del tesoro,Cat_158
necesitar saber cuanto pagar tarjeta,Cat_342
cambiar moneda tarjeta debitar exterior,Cat_289
hablilitacion para compras al exterior,Cat_304
es posible anular el canje,Cat_331
puedo abrirme una cuenta si vivo en el extranjero,Cat_39
que tengo en debito automatico,Cat_93
quisiera solicitar la tarjeta visa internacional,Cat_337
quiero poner mi ahorro en plazo fijo a dias,Cat_181
no me atienden por telefono y quiero dar de baja la tarjeta de ccredito,Cat_338
quiero abonar un servicio de dnrap y no me figura,Cat_132
consultar saldar,Cat_50
perdi mi tarjeta visa santander a que numero telefonico debo comunicarme,Cat_294
prestamos prendarios para motos tienen,Cat_228
reintegro pago servicios,Cat_312
dependo de la tasacion para ver el capital a solicitar,Cat_216
numero de telefono,Cat_147
como hago para sacar dinero del cajero automatico,Cat_298
el cajero automatico me indico un descubierto erroneo,Cat_56
vos me podes tomar un reclamo,Cat_135
me enviaron mis premios pero no estaba en casa y jamas volvieron a enviarlos,Cat_326
quiero solicitar la tarjeta de credito,Cat_337
no se acreditaban los bonos vencidos dias atras,Cat_161
para pagar los impuestos con la visa,Cat_132
queria extender la fecha de cierre de la visa,Cat_348
necesito adquirir tarjeta visa,Cat_337
quisiera saber si estan otorgando creditos personales,Cat_225
no puedo realizar un pago con tarjeta de credito,Cat_286
extender limite de descubierto,Cat_57
tasa fija hay para compra de vivienda,Cat_258
cuanto interes tiene el plan v,Cat_308
como hago para quitar un debito automatico,Cat_89
me llego mens q tengo q renovar mis claves y no se como hacerlo,Cat_1
por que no puedo transferir usd por home banking,Cat_80
si quiero sacar plata en el exterior con la tarjeta de ccredito como tengo que hacer,Cat_298
debito automatico servicios,Cat_132
quiero retirar la tarjeta en la sucursal de barracas,Cat_318
como puedo hacer para sacar un prestamo,Cat_223
como cambiar mi pasaporte a dni,Cat_103
hacen comercio exterior en santander rio,Cat_36
plastico tarjeta sucursal,Cat_293
no aparece en online banking quien es mi ejecutivo,Cat_126
donde puedo buscartenencias,Cat_67
requisito abrir bancario,Cat_39
como recupero mi cuenta bloqueda,Cat_51
quiero sacar la tarjeta visa recarga q costo tiene,Cat_313
reintegrar plata punto canjear,Cat_312
adquerir tarjeta,Cat_337
comprar una vivienda,Cat_228
quiero pagar desde mi caja de ahorro en dolares,Cat_307
cupo tarjeta credito,Cat_303
cual es la tasa por un acuerdo de sobregiro,Cat_56
el dinero del prestamo hipotecario se deposita en varios desembolsos,Cat_226
me mandaron un voucher vencido,Cat_333
ccredito personal,Cat_225
y para trabajar en santander,Cat_102
queria hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado se puede saber el motivo,Cat_47
saber monto abonar tarjeta santander visa,Cat_342
que papeles necesito para pedir un prendario,Cat_247
pagar servicio home banking tarjeta credito edenor,Cat_132
como me doy cuenta si estoy sumando puntos superclub,Cat_325
mis conumos del mes,Cat_138
buenos dias,Cat_19
debo recibir plata en mi cuenta desde el exterior y aun no la recibi,Cat_33
como usar esto,Cat_10
soy jubilada y cobro x el banco quiero saber el listado de farmacias q hacen el descuento de number como sale en la propaganda de tv,Cat_311
donde apunto mis datos personales para saber si puedo acceder al prestamo,Cat_248
aparece debitaron erroneo,Cat_112
en el paseo alcorta no aplican la promocion del super miercoles mujer,Cat_311
a que numero puedo llamar para un prestamo personal,Cat_223
como hago para comprar titulos publicos,Cat_157
