Pregunta,Intencion,Pregunta_T1,clean_txt,clean_txt_T1
como puedo trabajar en santander rio,Cat_102,¿Cómo puedo trabajar en Santander Rio?,como puedo trabajar en santander rio,como puedo trabajar en santander rio
pagar tarjeta visa querer reintegro,Cat_350,pagar tarjeta visa quiere reembolso,pagar tarjeta visa querer reintegro,pagar tarjeta visa quiere reembolso
pagar tarjeta naranja sistema,Cat_132,tarjeta naranja del sistema de pago,pagar tarjeta naranja sistema,tarjeta naranja del sistema de pago
no se debitó la primera cuota del plan de bienes personales y quiero saber por que,Cat_129,la primera cuota del plan de propiedad personal no se debitó y quiero saber por qué,no se debito la primera cuota del plan de bienes personales y quiero saber por que,la primera cuota del plan de propiedad personal no se debito y quiero saber por que
abonar tarjeta credito,Cat_342,tarjeta de crédito,abonar tarjeta credito,tarjeta de credito
se puede pagar la mastercard desde uno de los autoservicios del banco?,Cat_342,¿Puedes pagar la mastercard desde uno de los autoservicios del banco?,se puede pagar la mastercard desde uno de los autoservicios del banco,puedes pagar la mastercard desde uno de los autoservicios del banco
informar que vamos a viajar al exterior,Cat_304,informar que vamos a viajar al extranjero,informar que vamos a viajar al exterior,informar que vamos a viajar al extranjero
pasar preguntar seguridad,Cat_1,pasar preguntar seguridad,pasar preguntar seguridad,pasar preguntar seguridad
olvide mi contraseña de hombamnkin,Cat_1,Olvidé mi contraseña Hombamnkin,olvide mi contrasena de hombamnkin,olvide mi contrasena hombamnkin
como doy de baja la tarjeta por telefono no es posible comunicarse,Cat_338,"dado que cancelo la suscripción de la tarjeta por teléfono, no es posible comunicarme",como doy de baja la tarjeta por telefono no es posible comunicarse,dado que cancelo la suscripcion de la tarjeta por telefono no es posible comunicarme
intentar poder obtener clave,Cat_1,intenta obtener la llave,intentar poder obtener clave,intenta obtener la llave
mi abuela tiene que hacer la supervivencia en la sucursal de floresta.ahora ella está en pilar la puede realizar en un banco de ahi,Cat_88,"Mi abuela tiene que sobrevivir en la rama de Floresta. Ahora ella está en el pilar, puede hacerlo en un banco allí.",mi abuela tiene que hacer la supervivencia en la sucursal de floresta ahora ella esta en pilar la puede realizar en un banco de ahi,mi abuela tiene que sobrevivir en la rama de floresta ahora ella esta en el pilar puede hacerlo en un banco alli
pagar servicio pagina banco,Cat_132,servicio de pago banco,pagar servicio pagina banco,servicio de pago banco
me cobran algo por recibir dolares del exterior?,Cat_31,¿Me cobran algo para recibir dólares del extranjero?,me cobran algo por recibir dolares del exterior,me cobran algo para recibir dolares del extranjero
me ayudás a terminar un canje? no puedo hacerlo de manera electrónica.,Cat_328,¿Me pueden ayudar a terminar un intercambio? No puedo hacerlo electrónicamente.,me ayudas a terminar un canje no puedo hacerlo de manera electronica,me pueden ayudar a terminar un intercambio no puedo hacerlo electronicamente
quiero solicitar el prestamo santander rio,Cat_223,Quiero solicitar el préstamo Santander Rio,quiero solicitar el prestamo santander rio,quiero solicitar el prestamo santander rio
puedo retirar dinero de un plazo fijo?,Cat_182,¿Puedo retirar dinero de un plazo fijo?,puedo retirar dinero de un plazo fijo,puedo retirar dinero de un plazo fijo
queria invertir en la bolsa acciones de pampa energía,Cat_151,quería invertir en el mercado de valores de pampa energia,queria invertir en la bolsa acciones de pampa energia,queria invertir en el mercado de valores de pampa energia
queria saber como recuperar mi contraseña del cajero automatico,Cat_288,Quería saber cómo recuperar mi contraseña de cajero automático,queria saber como recuperar mi contrasena del cajero automatico,queria saber como recuperar mi contrasena de cajero automatico
necesito pedir una reimpresión.que tramite tengo que realizar?,Cat_316,Necesito solicitar una reimpresión. ¿Qué procedimiento debo realizar?,necesito pedir una reimpresion que tramite tengo que realizar,necesito solicitar una reimpresion que procedimiento debo realizar
