Pregunta,Intencion,clean_txt
como puedo trabajar en santander rio,Cat_102,como puedo trabajar en santander rio
pagar tarjeta visa querer reintegro,Cat_350,pagar tarjeta visa querer reintegro
pagar tarjeta naranja sistema,Cat_132,pagar tarjeta naranja sistema
no se debitó la primera cuota del plan de bienes personales y quiero saber por que,Cat_129,no se debito la primera cuota del plan de bienes personales y quiero saber por que
abonar tarjeta credito,Cat_342,abonar tarjeta credito
se puede pagar la mastercard desde uno de los autoservicios del banco?,Cat_342,se puede pagar la mastercard desde uno de los autoservicios del banco
informar que vamos a viajar al exterior,Cat_304,informar que vamos a viajar al exterior
pasar preguntar seguridad,Cat_1,pasar preguntar seguridad
olvide mi contraseña de hombamnkin,Cat_1,olvide mi contrasena de hombamnkin
como doy de baja la tarjeta por telefono no es posible comunicarse,Cat_338,como doy de baja la tarjeta por telefono no es posible comunicarse
intentar poder obtener clave,Cat_1,intentar poder obtener clave
mi abuela tiene que hacer la supervivencia en la sucursal de floresta.ahora ella está en pilar la puede realizar en un banco de ahi,Cat_88,mi abuela tiene que hacer la supervivencia en la sucursal de floresta ahora ella esta en pilar la puede realizar en un banco de ahi
pagar servicio pagina banco,Cat_132,pagar servicio pagina banco
me cobran algo por recibir dolares del exterior?,Cat_31,me cobran algo por recibir dolares del exterior
me ayudás a terminar un canje? no puedo hacerlo de manera electrónica.,Cat_328,me ayudas a terminar un canje no puedo hacerlo de manera electronica
quiero solicitar el prestamo santander rio,Cat_223,quiero solicitar el prestamo santander rio
puedo retirar dinero de un plazo fijo?,Cat_182,puedo retirar dinero de un plazo fijo
queria invertir en la bolsa acciones de pampa energía,Cat_151,queria invertir en la bolsa acciones de pampa energia
queria saber como recuperar mi contraseña del cajero automatico,Cat_288,queria saber como recuperar mi contrasena del cajero automatico
necesito pedir una reimpresión.que tramite tengo que realizar?,Cat_316,necesito pedir una reimpresion que tramite tengo que realizar
donde pago la cuota del prestamo personal?,Cat_239,donde pago la cuota del prestamo personal
tengo un atraso en el pago de mi tarjeta,Cat_192,tengo un atraso en el pago de mi tarjeta
en que casas de ropa va a haber promo?,Cat_311,en que casas de ropa va a haber promo
deseo ver el estado de distribución del plástico,Cat_293,deseo ver el estado de distribucion del plastico
tardar reponer tarjeta debito,Cat_293,tardar reponer tarjeta debito
algun costo abrir fondo comun invercion,Cat_96,algun costo abrir fondo comun invercion
cuándo se hace la liquidación de letras del tesoro,Cat_158,cuando se hace la liquidacion de letras del tesoro
necesitar saber cuanto pagar tarjeta,Cat_342,necesitar saber cuanto pagar tarjeta
cambiar moneda tarjeta debitar exterior,Cat_289,cambiar moneda tarjeta debitar exterior
hablilitacion para compras al exterior,Cat_304,hablilitacion para compras al exterior
es posible anular el canje?,Cat_331,es posible anular el canje
puedo abrirme una cuenta si vivo en el extranjero,Cat_39,puedo abrirme una cuenta si vivo en el extranjero
que tengo en debito automatico,Cat_93,que tengo en debito automatico
quisiera solicitar la tarjeta visa internacional,Cat_337,quisiera solicitar la tarjeta visa internacional
quiero poner mi ahorro en plazo fijo a dias,Cat_181,quiero poner mi ahorro en plazo fijo a dias
no me atienden por telefono y quiero dar de baja la tarjeta de ccredito,Cat_338,no me atienden por telefono y quiero dar de baja la tarjeta de ccredito
quiero abonar un servicio de dnrap y no me figura,Cat_132,quiero abonar un servicio de dnrap y no me figura
consultar saldar,Cat_50,consultar saldar
perdi mi tarjeta visa santander . a que número telefonico debo comunicarme?,Cat_294,perdi mi tarjeta visa santander a que numero telefonico debo comunicarme
prestamos prendarios para motos tienen,Cat_228,prestamos prendarios para motos tienen
reintegro pago servicios,Cat_312,reintegro pago servicios
dependo de la tasacion para ver el capital a solicitar?,Cat_216,dependo de la tasacion para ver el capital a solicitar
numero de telefono,Cat_147,numero de telefono
como hago para sacar dinero del cajero automatico,Cat_298,como hago para sacar dinero del cajero automatico
el cajero automatico me indico un descubierto erroneo.,Cat_56,el cajero automatico me indico un descubierto erroneo
vos me podes tomar un reclamo?,Cat_135,vos me podes tomar un reclamo
me enviaron mis premios pero no estaba en casa y jamás volvieron a enviarlos,Cat_326,me enviaron mis premios pero no estaba en casa y jamas volvieron a enviarlos
quiero solicitar la tarjeta de credito,Cat_337,quiero solicitar la tarjeta de credito
no se acreditaban los bonos vencidos días atrás?,Cat_161,no se acreditaban los bonos vencidos dias atras
para pagar los impuestos con la visa,Cat_132,para pagar los impuestos con la visa
queria extender la fecha de cierre de la visa.,Cat_348,queria extender la fecha de cierre de la visa
necesito adquirir tarjeta visa,Cat_337,necesito adquirir tarjeta visa
quisiera saber si estan otorgando creditos personales,Cat_225,quisiera saber si estan otorgando creditos personales
no puedo realizar un pago con tarjeta de credito,Cat_286,no puedo realizar un pago con tarjeta de credito
extender limite de descubierto,Cat_57,extender limite de descubierto
tasa fija hay para compra de vivienda?,Cat_258,tasa fija hay para compra de vivienda
cuanto interés tiene el plan v,Cat_308,cuanto interes tiene el plan v
como hago para quitar un debito automatico?,Cat_89,como hago para quitar un debito automatico
me llego mens q tengo q renovar mis claves y no se como hacerlo.,Cat_1,me llego mens q tengo q renovar mis claves y no se como hacerlo
por que no puedo transferir usd por home banking?,Cat_80,por que no puedo transferir usd por home banking
si quiero sacar plata en el exterior con la tarjeta de ccredito como tengo que hacer?,Cat_298,si quiero sacar plata en el exterior con la tarjeta de ccredito como tengo que hacer
debito automatico servicios,Cat_132,debito automatico servicios
quiero retirar la tarjeta en la sucursal de barracas,Cat_318,quiero retirar la tarjeta en la sucursal de barracas
cómo puedo hacer para sacar un préstamo?,Cat_223,como puedo hacer para sacar un prestamo
como cambiar mi pasaporte a dni,Cat_103,como cambiar mi pasaporte a dni
hacen comercio exterior en santander rio?,Cat_36,hacen comercio exterior en santander rio
plastico tarjeta sucursal,Cat_293,plastico tarjeta sucursal
no aparece en online banking quien es mi ejecutivo,Cat_126,no aparece en online banking quien es mi ejecutivo
donde puedo buscartenencias,Cat_67,donde puedo buscartenencias
requisito abrir bancario,Cat_39,requisito abrir bancario
como recupero mi cuenta bloqueda?,Cat_51,como recupero mi cuenta bloqueda
quiero sacar la tarjeta visa recarga. q costo tiene,Cat_313,quiero sacar la tarjeta visa recarga q costo tiene
reintegrar plata punto canjear,Cat_312,reintegrar plata punto canjear
adquerir tarjeta,Cat_337,adquerir tarjeta
comprar una vivienda,Cat_228,comprar una vivienda
quiero pagar desde mi caja de ahorro en dolares,Cat_307,quiero pagar desde mi caja de ahorro en dolares
cupo tarjeta credito,Cat_303,cupo tarjeta credito
cuál es la tasa por un acuerdo de sobregiro?,Cat_56,cual es la tasa por un acuerdo de sobregiro
el dinero del prestamo hipotecario se deposita en varios desembolsos?,Cat_226,el dinero del prestamo hipotecario se deposita en varios desembolsos
me mandaron un voucher vencido,Cat_333,me mandaron un voucher vencido
ccredito personal,Cat_225,ccredito personal
y para trabajar en santander?,Cat_102,y para trabajar en santander
queria hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado. se puede saber el motivo?,Cat_47,queria hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado se puede saber el motivo
saber monto abonar tarjeta santander visa,Cat_342,saber monto abonar tarjeta santander visa
que papeles necesito para pedir un prendario,Cat_247,que papeles necesito para pedir un prendario
pagar servicio home banking tarjeta credito edenor,Cat_132,pagar servicio home banking tarjeta credito edenor
como me doy cuenta si estoy sumando puntos superclub?,Cat_325,como me doy cuenta si estoy sumando puntos superclub
mis conumos del mes?,Cat_138,mis conumos del mes
buenos dias,Cat_19,buenos dias
debo recibir plata en mi cuenta desde el exterior y aún no la recibí,Cat_33,debo recibir plata en mi cuenta desde el exterior y aun no la recibi
como usar esto,Cat_10,como usar esto
soy jubilada y cobro x el banco.quiero saber el listado de farmacias q hacen el descuento de 25%.como sale en la propaganda de tv,Cat_311,soy jubilada y cobro x el banco quiero saber el listado de farmacias q hacen el descuento de number como sale en la propaganda de tv
donde apuntó mis datos personales para saber si puedo acceder al prestamo,Cat_248,donde apunto mis datos personales para saber si puedo acceder al prestamo
aparece debitaron erróneo,Cat_112,aparece debitaron erroneo
en el paseo alcorta no aplican la promocion del super miercoles mujer,Cat_311,en el paseo alcorta no aplican la promocion del super miercoles mujer
a que número puedo llamar para un préstamo personal,Cat_223,a que numero puedo llamar para un prestamo personal
cómo hago para comprar títulos públicos?,Cat_157,como hago para comprar titulos publicos
recien me llamaron veces! sera por el tema del traspaso de mi cuenta?,Cat_146,recien me llamaron veces sera por el tema del traspaso de mi cuenta
como se si mi tarjeta llego ala sucursal?,Cat_293,como se si mi tarjeta llego ala sucursal
como es el financiamiento una vez que hacer el pago mínimo?,Cat_308,como es el financiamiento una vez que hacer el pago minimo
tengo un problema con el calefón  no funciona. tengo cobertura por eso?,Cat_265,tengo un problema con el calefon no funciona tengo cobertura por eso
me dice que la tarjeta esta bloqueada.,Cat_286,me dice que la tarjeta esta bloqueada
simulación de super prestamo santander rio,Cat_251,simulacion de super prestamo santander rio
como puedo saver si depocitaron dinero a mi nombre,Cat_50,como puedo saver si depocitaron dinero a mi nombre
porque no aparece la tarjeta como pagada,Cat_279,porque no aparece la tarjeta como pagada
comision extraccion exterior,Cat_96,comision extraccion exterior
compra exterior dolares tarjeta visa pagar pesos,Cat_307,compra exterior dolares tarjeta visa pagar pesos
me robó la empleada doméstica  tengo cobertura?,Cat_265,me robo la empleada domestica tengo cobertura
activacion de extension,Cat_301,activacion de extension
ccredito preacordado,Cat_225,ccredito preacordado
querer pagar parcial tarjeta visa,Cat_342,querer pagar parcial tarjeta visa
como puedo canjear los puntos,Cat_322,como puedo canjear los puntos
puedo solicitar un prestamo personal para hacer arreglos en mi casa?,Cat_228,puedo solicitar un prestamo personal para hacer arreglos en mi casa
como puedo saber cual es el nro de socio advantage?,Cat_275,como puedo saber cual es el nro de socio advantage
llamar exterior,Cat_147,llamar exterior
querer darme bajo,Cat_41,querer darme bajo
adherir a american airlines con visa,Cat_299,adherir a american airlines con visa
reintegro debito pago de servicio,Cat_312,reintegro debito pago de servicio
como es un ejemplo para un préstamo hipotecario ajustable?,Cat_229,como es un ejemplo para un prestamo hipotecario ajustable
queria consultar si puedo pedir un prestamo personal,Cat_248,queria consultar si puedo pedir un prestamo personal
queria consultar si tengo algún préstamo disponible pra mi.,Cat_223,queria consultar si tengo algun prestamo disponible pra mi
quiero cambiar mi tarjeta a contactless,Cat_291,quiero cambiar mi tarjeta a contactless
alguien me pude decir para que es el programa advantage,Cat_277,alguien me pude decir para que es el programa advantage
cual sería el valor de mi cuota de prestamo para un terreno,Cat_219,cual seria el valor de mi cuota de prestamo para un terreno
reclame por no entrega dinero cajero banelco,Cat_297,reclame por no entrega dinero cajero banelco
que gastos cobra santander rio en los prestamos hipotecarios?,Cat_231,que gastos cobra santander rio en los prestamos hipotecarios
necesito en cuotas,Cat_251,necesito en cuotas
que vehiculos se pueden comprar con el credito,Cat_228,que vehiculos se pueden comprar con el credito
quiero un préstamo para comprar un terreno,Cat_228,quiero un prestamo para comprar un terreno
siendo extranjero puedo obtener un ccredito hipotecario,Cat_248,siendo extranjero puedo obtener un ccredito hipotecario
como son los creditos personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses ?,Cat_251,como son los creditos personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses
el prestamo solo es para casas construidas?,Cat_211,el prestamo solo es para casas construidas
mexico telefono llamar,Cat_147,mexico telefono llamar
necesitar modificar gasto dolar debitar dolar peso modificacion,Cat_289,necesitar modificar gasto dolar debitar dolar peso modificacion
yo quisiera saber si puedo optener la tarjeta de credito del banco .ya tengo la de debito,Cat_337,yo quisiera saber si puedo optener la tarjeta de credito del banco ya tengo la de debito
si hay tasas especiales para plazos fijos de más de un millon. o son las regulares.,Cat_184,si hay tasas especiales para plazos fijos de mas de un millon o son las regulares
necesito crear,Cat_39,necesito crear
quien sos,Cat_14,quien sos
tengo tarjeta de santander rio  como hago para sumar millas en aadnatage_,Cat_274,tengo tarjeta de santander rio como hago para sumar millas en aadnatage
reactivación de tarjeta,Cat_314,reactivacion de tarjeta
quiero compromiso pago,Cat_191,quiero compromiso pago
quisiera saber si puedo pedir un préstamo de,Cat_248,quisiera saber si puedo pedir un prestamo de
entre a trabajar hace dos meses puedo solicitar el préstamo hipotecario?,Cat_248,entre a trabajar hace dos meses puedo solicitar el prestamo hipotecario
quiero saber de los prestamos uvas y procrear  me mostras la diferencia entre cada uno?,Cat_202,quiero saber de los prestamos uvas y procrear me mostras la diferencia entre cada uno
tengo un cheque en dolares  como lo puedo cobrar?,Cat_30,tengo un cheque en dolares como lo puedo cobrar
no llegue la transferencia a mi cuenta del exterior,Cat_35,no llegue la transferencia a mi cuenta del exterior
me.olvide la contraseña de mi cuenta,Cat_1,me olvide la contrasena de mi cuenta
me contactan de un estudio juridico por una deuda con el santander,Cat_190,me contactan de un estudio juridico por una deuda con el santander
aumentar extracciones,Cat_287,aumentar extracciones
que documentación tengo que presentar para mandar un pago hacia el exterior?,Cat_36,que documentacion tengo que presentar para mandar un pago hacia el exterior
usan sistema francés?,Cat_252,usan sistema frances
hay tasa fija para compra de segunda vivienda?,Cat_258,hay tasa fija para compra de segunda vivienda
la tarjeta esta paga igual verdad?,Cat_279,la tarjeta esta paga igual verdad
soy cliente pregunto para un préstamo prendario cuanto es el interés hoy,Cat_258,soy cliente pregunto para un prestamo prendario cuanto es el interes hoy
ir pagando en cuotas la deuda con la tarjeta,Cat_308,ir pagando en cuotas la deuda con la tarjeta
¿cuándo se pagan los intereses de las letes?,Cat_158,cuando se pagan los intereses de las letes
yo pedí la tarjeta santander llega al domicilio o tengo q ir a buscarla?,Cat_293,yo pedi la tarjeta santander llega al domicilio o tengo q ir a buscarla
no puedo retirar las tarjetas  me las pueden mandar a otra sucursal,Cat_318,no puedo retirar las tarjetas me las pueden mandar a otra sucursal
necesito solicitar o tramitar 2 posnet,Cat_71,necesito solicitar o tramitar number posnet
quiero el descuento de colectivo de % quiero saber cuales son las empresas que lo toman,Cat_311,quiero el descuento de colectivo de quiero saber cuales son las empresas que lo toman
quiero hacer stop debit,Cat_353,quiero hacer stop debit
para solicitar el préstamo lo puedo hacer por este medio,Cat_223,para solicitar el prestamo lo puedo hacer por este medio
cuales son los requisitos para hacer un pago al exterior?,Cat_36,cuales son los requisitos para hacer un pago al exterior
saber que tipo de amortización tienen los creditos personales,Cat_252,saber que tipo de amortizacion tienen los creditos personales
tengo la luz adherida al débito automatico?,Cat_93,tengo la luz adherida al debito automatico
me robaron y queria saber como proceder porque estoy asegurada,Cat_265,me robaron y queria saber como proceder porque estoy asegurada
cómo agrego un servicio a la agenda de pagos,Cat_132,como agrego un servicio a la agenda de pagos
direccion de sucursal,Cat_91,direccion de sucursal
quiero obtener visa santander,Cat_337,quiero obtener visa santander
algun nro de tel para comunicarme,Cat_147,algun nro de tel para comunicarme
necesito usar mi tarjeta de debito y en el posnet solicita pedir autorizacion,Cat_283,necesito usar mi tarjeta de debito y en el posnet solicita pedir autorizacion
que son las tarjetas sin contacto ?,Cat_291,que son las tarjetas sin contacto
tarjeta extranjero,Cat_289,tarjeta extranjero
qué pasa que me cobran caja de seguridad si ni siquiera la uso?,Cat_92,que pasa que me cobran caja de seguridad si ni siquiera la uso
olvide mi contraseña,Cat_1,olvide mi contrasena
tenia una consulta con respecto al pago de un prestamo  se puede pagar en efectivo a traves de una terminal de autoservicio?,Cat_239,tenia una consulta con respecto al pago de un prestamo se puede pagar en efectivo a traves de una terminal de autoservicio
deseo abrir una caja de ahorro en pesosss,Cat_39,deseo abrir una caja de ahorro en pesosss
puedo aumentar la linea crediticia disponible?,Cat_196,puedo aumentar la linea crediticia disponible
que tasa de interés debo pagar por el ccredito hipotecario?,Cat_258,que tasa de interes debo pagar por el ccredito hipotecario
que tiempo demora la reimpresion de mi tarjeta de debito,Cat_316,que tiempo demora la reimpresion de mi tarjeta de debito
voy a usar las tarjetas en el exterior,Cat_304,voy a usar las tarjetas en el exterior
me podras brindar la informacion por adherir servicios a debito automatico?,Cat_132,me podras brindar la informacion por adherir servicios a debito automatico
querer cambiar contraseña acceso,Cat_1,querer cambiar contrasena acceso
olvide clave banelco?,Cat_288,olvide clave banelco
cómo hago una transferencia de mi caja de ahorros a mi cuenta corriente?,Cat_85,como hago una transferencia de mi caja de ahorros a mi cuenta corriente
quisiera enviar mi cv,Cat_102,quisiera enviar mi cv
no me pagaron la pension,Cat_37,no me pagaron la pension
caja de ahorro para monotributista,Cat_39,caja de ahorro para monotributista
yo use el comodin de conbustible quiero saber cuando me reintegran el dinero,Cat_322,yo use el comodin de conbustible quiero saber cuando me reintegran el dinero
consultar saldo tarjeta american express,Cat_303,consultar saldo tarjeta american express
donde veo las operaciones a confirmar,Cat_343,donde veo las operaciones a confirmar
dar de baja una cuenta universitaria,Cat_41,dar de baja una cuenta universitaria
podemos hacer un simulacro?,Cat_251,podemos hacer un simulacro
hacer recargar subir cargar dinero,Cat_129,hacer recargar subir cargar dinero
reimpresión de tarjeta de ccredito santander,Cat_316,reimpresion de tarjeta de ccredito santander
costo transferencia banco santander,Cat_83,costo transferencia banco santander
necesito pagar agip,Cat_132,necesito pagar agip
pero quiero obtener una clave para mi tarjeta de ccredito american express,Cat_288,pero quiero obtener una clave para mi tarjeta de ccredito american express
no puedo pagar o extraer dinero con mi tarjeta santander,Cat_286,no puedo pagar o extraer dinero con mi tarjeta santander
cómo hago para saber el número de cuenta de mi tarjeta santander  ccredito?,Cat_344,como hago para saber el numero de cuenta de mi tarjeta santander ccredito
que valor de devolución tiene y que cuota del seguro para un samsung s plus?,Cat_261,que valor de devolucion tiene y que cuota del seguro para un samsung s plus
quiero cerrar mi cuenta,Cat_41,quiero cerrar mi cuenta
dan préstamos a monotributustas,Cat_248,dan prestamos a monotributustas
queria pagarle el sueldo a un empleado pero necesito ayuda,Cat_69,queria pagarle el sueldo a un empleado pero necesito ayuda
soy cliente y necesito un prestamo,Cat_223,soy cliente y necesito un prestamo
simulador.de prestamo,Cat_251,simulador de prestamo
quisiera saber sobre creditos personales,Cat_225,quisiera saber sobre creditos personales
quiero saber cuales son los pagos que hice con tarjeta de credito,Cat_279,quiero saber cuales son los pagos que hice con tarjeta de credito
que es el coeficiente de estabilización de referencia,Cat_107,que es el coeficiente de estabilizacion de referencia
saber donde llegar tarjeta nueva,Cat_293,saber donde llegar tarjeta nueva
quisiera dar de baja una poliza como puedo hacerlo y donde?,Cat_262,quisiera dar de baja una poliza como puedo hacerlo y donde
